filename,true_label,real_score
original.m4a,1,6.2e-05
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999716
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999941
synthetic_1.mp3,0,0.999983
original.m4a,1,0.975555
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999974
synthetic_1.mp3,0,0.999983
original.wav,1,0.999976
synthetic_1.mp3,0,0.999983
original.wav,1,0.999983
synthetic_1.mp3,0,0.999983
original.wav,1,0.999983
synthetic_1.mp3,0,0.999983
original.wav,1,0.999983
synthetic_1.mp3,0,0.999983
original.wav,1,0.999983
synthetic_1.mp3,0,0.999983
original.mp3,1,2e-05
synthetic_1.mp3,0,0.999983
original.mp3,1,0.999836
synthetic_1.mp3,0,0.999983
original.mp3,1,0.999677
synthetic_1.mp3,0,0.999983
original.mp3,1,0.999953
synthetic_1.mp3,0,0.999983
original.mp3,1,0.998478
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999983
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999983
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999983
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999983
synthetic_1.mp3,0,0.999983
original.m4a,1,0.999983
synthetic_1.mp3,0,0.999983
