filename,true_label,m1_real_score,m2_real_score
real_0.png,1,0.975651,0.059881
real_1.png,1,0.986016,0.004065
real_10.png,1,0.941379,0.904791
real_100.png,1,0.958284,0.406707
real_1000.png,1,0.991589,0.996094
real_1001.png,1,0.990152,0.025958
real_1002.png,1,0.985802,0.999318
real_1003.png,1,0.984647,0.001791
real_1004.png,1,0.993469,0.581329
real_1005.png,1,0.996677,0.002131
real_1006.png,1,0.955148,0.347
real_1007.png,1,0.893853,0.010195
real_1008.png,1,0.976692,0.014684
real_1009.png,1,0.99286,0.995046
real_101.png,1,0.986666,0.05405
real_1010.png,1,0.971213,0.709403
real_1011.png,1,0.986644,0.001257
real_1012.png,1,0.948794,0.66174
real_1013.png,1,0.987436,0.009264
real_1014.png,1,0.968719,0.124249
real_1015.png,1,0.999516,0.002399
real_1016.png,1,0.98784,0.99748
real_1017.png,1,0.961287,0.995668
real_1018.png,1,0.990034,0.983899
real_1019.png,1,0.989467,0.003185
real_102.png,1,0.974399,0.877938
real_1020.png,1,0.99458,0.025848
real_1021.png,1,0.992114,0.976912
real_1022.png,1,0.939938,0.000936
real_1023.png,1,0.169962,0.461852
real_1024.png,1,0.980552,0.98884
real_1025.png,1,0.99184,0.080571
real_1026.png,1,0.896746,0.791021
real_1027.png,1,0.993947,0.024291
real_1028.png,1,0.983517,0.793265
real_1029.png,1,0.853043,0.000797
real_103.png,1,0.987027,0.004086
real_1030.png,1,0.401207,0.002902
real_1031.png,1,0.973904,0.196975
real_1032.png,1,0.88333,0.956581
real_1033.png,1,0.996669,0.951915
real_1034.png,1,0.992313,0.002017
real_1035.png,1,0.998006,0.173705
real_1036.png,1,0.997925,0.379941
real_1037.png,1,0.786235,0.999027
real_1038.png,1,0.980896,0.014155
real_1039.png,1,0.934867,0.600313
real_104.png,1,0.993583,0.012212
real_1040.png,1,0.993418,0.96163
real_1041.png,1,0.988699,0.016855
real_1042.png,1,0.984367,0.960372
real_1043.png,1,0.984218,0.984772
real_1044.png,1,0.995372,0.874215
real_1045.png,1,0.998136,0.003353
real_1046.png,1,0.985636,0.934775
real_1047.png,1,0.996022,0.930244
real_1048.png,1,0.990195,0.996925
real_1049.png,1,0.975756,0.004653
real_105.png,1,0.988427,0.354332
real_1050.png,1,0.995737,0.131009
fake_0.png,0,0.946672,0.032229
fake_1.png,0,0.952892,0.926695
fake_10.png,0,0.959102,0.018695
fake_100.png,0,0.317312,0.998029
fake_1000.png,0,0.974108,0.951543
fake_1001.png,0,0.836644,0.917744
fake_1002.png,0,0.726541,0.004804
fake_1003.png,0,0.619383,0.906118
fake_1004.png,0,0.973425,0.88012
fake_1005.png,0,0.929086,0.939619
fake_1006.png,0,0.136277,0.004193
fake_1007.png,0,0.962382,0.658968
fake_1008.png,0,0.965075,0.994467
fake_1009.png,0,0.957919,0.014024
fake_101.png,0,0.71071,0.993807
fake_1010.png,0,0.983257,0.959112
fake_1011.png,0,0.98859,0.026911
fake_1012.png,0,0.974644,0.185453
fake_1013.png,0,0.996341,0.07284
fake_1014.png,0,0.960989,0.007423
fake_1015.png,0,0.961603,0.647082
fake_1016.png,0,0.978685,0.055074
fake_1017.png,0,0.923922,0.017193
fake_1018.png,0,0.95943,0.003947
fake_1019.png,0,0.944907,0.909238
fake_102.png,0,0.766138,0.134844
fake_1020.png,0,0.986378,0.054421
fake_1021.png,0,0.508044,0.001519
fake_1022.png,0,0.989973,0.000601
fake_1023.png,0,0.902857,0.624009
fake_1024.png,0,0.645291,0.317205
fake_1025.png,0,0.923658,0.066092
fake_1026.png,0,0.962175,0.984846
fake_1027.png,0,0.9914,0.820849
fake_1028.png,0,0.880406,0.502963
fake_1029.png,0,0.984991,0.017192
fake_103.png,0,0.940871,0.003019
fake_1030.png,0,0.978361,0.859502
fake_1031.png,0,0.997037,0.000859
fake_1032.png,0,0.311316,0.988232
fake_1033.png,0,0.665808,0.00095
fake_1034.png,0,0.974295,0.996355
fake_1035.png,0,0.894904,0.004598
fake_1036.png,0,0.844436,0.99807
fake_1037.png,0,0.067921,0.997879
fake_1038.png,0,0.994785,0.008519
fake_1039.png,0,0.927842,0.093738
fake_104.png,0,0.787227,0.598721
fake_1040.png,0,0.989963,0.488904
fake_1041.png,0,0.974479,0.007863
fake_1042.png,0,0.964667,0.001366
fake_1043.png,0,0.993324,0.995773
fake_1044.png,0,0.990197,0.002284
fake_1045.png,0,0.878496,0.99711
fake_1046.png,0,0.988271,0.934654
fake_1047.png,0,0.939251,0.189805
fake_1048.png,0,0.087666,0.992211
fake_1049.png,0,0.783473,0.072684
fake_105.png,0,0.973862,0.001022
fake_1050.png,0,0.990273,0.035809
